,Ata,Bol,Cag,Com,Cre,Fio,Gen,Int,Juv,Laz,Lec,Mil,Nap,Par,Pis,Rom,Sas,Tor,Udi,Ver
Ata,,12.0,10.0,13.0,3.0,11.0,15.0,9.0,15.0,3.0,11.0,11.0,2.0,7.0,8.0,16.0,8.0,4.0,7.0,6.0
Bol,12.0,,8.0,7.0,8.0,10.0,11.0,6.0,9.0,9.0,12.0,12.0,9.0,13.0,9.0,10.0,4.0,10.0,7.0,5.0
Cag,10.0,8.0,,12.0,7.0,10.0,12.0,8.0,10.0,10.0,6.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,7.0
Com,13.0,7.0,12.0,,6.0,7.0,13.0,12.0,13.0,5.0,7.0,7.0,4.0,8.0,12.0,14.0,10.0,6.0,8.0,7.0
Cre,3.0,8.0,7.0,6.0,,6.0,2.0,10.0,3.0,14.0,9.0,8.0,15.0,11.0,13.0,5.0,10.0,16.0,14.0,11.0
Fio,11.0,10.0,10.0,7.0,6.0,,11.0,7.0,10.0,11.0,9.0,12.0,10.0,9.0,1.0,8.0,9.0,9.0,7.0,14.0
Gen,15.0,11.0,12.0,13.0,2.0,11.0,,9.0,14.0,5.0,12.0,11.0,4.0,8.0,7.0,14.0,8.0,5.0,4.0,6.0
Int,9.0,6.0,8.0,12.0,10.0,7.0,9.0,,12.0,10.0,8.0,1.0,10.0,5.0,11.0,9.0,12.0,7.0,13.0,12.0
Juv,15.0,9.0,10.0,13.0,3.0,10.0,14.0,12.0,,5.0,11.0,8.0,5.0,5.0,9.0,14.0,12.0,0.0,7.0,9.0
Laz,3.0,9.0,10.0,5.0,14.0,11.0,5.0,10.0,5.0,,7.0,8.0,18.0,11.0,8.0,0.0,9.0,14.0,11.0,13.0
Lec,11.0,12.0,6.0,7.0,9.0,9.0,12.0,8.0,11.0,7.0,,11.0,8.0,9.0,10.0,12.0,7.0,8.0,6.0,8.0
Mil,11.0,12.0,11.0,7.0,8.0,12.0,11.0,1.0,8.0,8.0,11.0,,8.0,13.0,7.0,11.0,8.0,11.0,6.0,7.0
Nap,2.0,9.0,9.0,4.0,15.0,10.0,4.0,10.0,5.0,18.0,8.0,8.0,,11.0,9.0,1.0,9.0,14.0,12.0,13.0
Par,7.0,13.0,8.0,8.0,11.0,9.0,8.0,5.0,5.0,11.0,9.0,13.0,11.0,,10.0,8.0,5.0,14.0,9.0,7.0
Pis,8.0,9.0,9.0,12.0,13.0,1.0,7.0,11.0,9.0,8.0,10.0,7.0,9.0,10.0,,11.0,10.0,10.0,11.0,6.0
Rom,16.0,10.0,9.0,14.0,5.0,8.0,14.0,9.0,14.0,0.0,12.0,11.0,1.0,8.0,11.0,,10.0,5.0,8.0,6.0
Sas,8.0,4.0,9.0,10.0,10.0,9.0,8.0,12.0,12.0,9.0,7.0,8.0,9.0,5.0,10.0,10.0,,7.0,11.0,13.0
Tor,4.0,10.0,9.0,6.0,16.0,9.0,5.0,7.0,0.0,14.0,8.0,11.0,14.0,14.0,10.0,5.0,7.0,,12.0,10.0
Udi,7.0,7.0,7.0,8.0,14.0,7.0,4.0,13.0,7.0,11.0,6.0,6.0,12.0,9.0,11.0,8.0,11.0,12.0,,11.0
Ver,6.0,5.0,7.0,7.0,11.0,14.0,6.0,12.0,9.0,13.0,8.0,7.0,13.0,7.0,6.0,6.0,13.0,10.0,11.0,
